training episode 264 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 265 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 266 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 267 of 1000 complete,  explore val = 0.01, episode reward = 187.0
training episode 268 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 269 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 270 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 271 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 272 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 273 of 1000 complete,  explore val = 0.01, episode reward = 21.0
training episode 274 of 1000 complete,  explore val = 0.01, episode reward = 500.0
training episode 275 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 276 of 1000 complete,  explore val = 0.01, episode reward = 343.0
training episode 277 of 1000 complete,  explore val = 0.01, episode reward = 120.0
training episode 278 of 1000 complete,  explore val = 0.01, episode reward = 324.0
