training episode 356 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 357 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 358 of 500 complete,  explore val = 0.01, episode reward = 300.0
training episode 359 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 360 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 361 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 362 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 363 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 364 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 365 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 366 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 367 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 368 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 369 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 370 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 371 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 372 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 373 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 374 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 375 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 376 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 377 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 378 of 500 complete,  explore val = 0.01, episode reward = 387.0
training episode 379 of 500 complete,  explore val = 0.01, episode reward = 380.0
training episode 380 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 381 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 382 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 383 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 384 of 500 complete,  explore val = 0.01, episode reward = 394.0
training episode 385 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 386 of 500 complete,  explore val = 0.01, episode reward = 243.0
training episode 387 of 500 complete,  explore val = 0.01, episode reward = 396.0
training episode 388 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 389 of 500 complete,  explore val = 0.01, episode reward = 396.0
training episode 390 of 500 complete,  explore val = 0.01, episode reward = 325.0
training episode 391 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 392 of 500 complete,  explore val = 0.01, episode reward = 327.0
training episode 393 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 394 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 395 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 396 of 500 complete,  explore val = 0.01, episode reward = 365.0
training episode 397 of 500 complete,  explore val = 0.01, episode reward = 329.0
training episode 398 of 500 complete,  explore val = 0.01, episode reward = 255.0
training episode 399 of 500 complete,  explore val = 0.01, episode reward = 487.0
training episode 400 of 500 complete,  explore val = 0.01, episode reward = 341.0
training episode 401 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 402 of 500 complete,  explore val = 0.01, episode reward = 329.0
training episode 403 of 500 complete,  explore val = 0.01, episode reward = 471.0
training episode 404 of 500 complete,  explore val = 0.01, episode reward = 269.0
training episode 405 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 406 of 500 complete,  explore val = 0.01, episode reward = 234.0
training episode 407 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 408 of 500 complete,  explore val = 0.01, episode reward = 213.0
training episode 409 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 410 of 500 complete,  explore val = 0.01, episode reward = 182.0
training episode 411 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 412 of 500 complete,  explore val = 0.01, episode reward = 206.0
training episode 413 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 414 of 500 complete,  explore val = 0.01, episode reward = 275.0
training episode 415 of 500 complete,  explore val = 0.01, episode reward = 392.0
training episode 416 of 500 complete,  explore val = 0.01, episode reward = 300.0
training episode 417 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 418 of 500 complete,  explore val = 0.01, episode reward = 268.0
training episode 419 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 420 of 500 complete,  explore val = 0.01, episode reward = 166.0
training episode 421 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 422 of 500 complete,  explore val = 0.01, episode reward = 252.0
training episode 423 of 500 complete,  explore val = 0.01, episode reward = 500.0
training episode 424 of 500 complete,  explore val = 0.01, episode reward = 251.0
